date,ticker,signal,confidence,signal_source,sector,n_matches,raw_prob,mean_7d_return
2024-03-19,SPY,HOLD,0.498889,KNN,Index,51,0.431373,-0.7945
2024-03-20,SPY,HOLD,0.489163,KNN,Index,51,0.411765,-0.5229
2024-03-21,SPY,HOLD,0.547387,KNN,Index,51,0.529412,-0.0817
2024-03-22,SPY,HOLD,0.528044,KNN,Index,51,0.490196,-0.1063
2024-03-25,SPY,HOLD,0.518337,KNN,Index,51,0.470588,-0.5152
2024-03-26,SPY,HOLD,0.557009,KNN,Index,51,0.54902,-0.297
2024-03-27,SPY,HOLD,0.450412,KNN,Index,51,0.333333,-0.6419
2024-03-28,SPY,HOLD,0.518337,KNN,Index,51,0.470588,-0.2501
2024-04-01,SPY,HOLD,0.547387,KNN,Index,51,0.529412,0.0944
2024-04-02,SPY,HOLD,0.604343,KNN,Index,51,0.647059,0.8338
2024-04-03,SPY,HOLD,0.604343,KNN,Index,51,0.647059,0.5421
2024-04-04,SPY,HOLD,0.604343,KNN,Index,51,0.647059,0.9731
2024-04-05,SPY,HOLD,0.576118,KNN,Index,51,0.588235,0.2726
2024-04-08,SPY,HOLD,0.557009,KNN,Index,51,0.54902,0.2589
2024-04-09,SPY,HOLD,0.6498,KNN,Index,51,0.745098,1.2116
2024-04-10,SPY,HOLD,0.585592,KNN,Index,51,0.607843,0.3281
2024-04-11,SPY,HOLD,0.595002,KNN,Index,51,0.627451,0.7861
2024-04-12,SPY,HOLD,0.595002,KNN,Index,51,0.627451,0.5197
2024-04-15,SPY,HOLD,0.576118,KNN,Index,51,0.588235,0.4522
2024-04-16,SPY,HOLD,0.595002,KNN,Index,51,0.627451,0.843
2024-04-17,SPY,HOLD,0.557009,KNN,Index,51,0.54902,0.5592
2024-04-18,SPY,HOLD,0.547387,KNN,Index,51,0.529412,0.3528
2024-04-19,SPY,HOLD,0.604343,KNN,Index,51,0.647059,0.9517
2024-04-22,SPY,HOLD,0.557009,KNN,Index,51,0.54902,0.9722
2024-04-23,SPY,HOLD,0.53773,KNN,Index,51,0.509804,0.5229
2024-04-24,SPY,HOLD,0.640894,KNN,Index,51,0.72549,0.7533
2024-04-25,SPY,HOLD,0.508617,KNN,Index,51,0.45098,0.1298
2024-04-26,SPY,HOLD,0.547387,KNN,Index,51,0.529412,-0.1343
2024-04-29,SPY,HOLD,0.595002,KNN,Index,51,0.627451,0.6076
2024-04-30,SPY,HOLD,0.591434,KNN,Index,50,0.62,0.7563
2024-05-01,SPY,HOLD,0.518337,KNN,Index,51,0.470588,0.4117
2024-05-02,SPY,HOLD,0.566588,KNN,Index,51,0.568627,0.3225
2024-05-03,SPY,HOLD,0.566588,KNN,Index,51,0.568627,-0.1446
2024-05-06,SPY,HOLD,0.576118,KNN,Index,51,0.588235,0.5571
2024-05-07,SPY,HOLD,0.53773,KNN,Index,51,0.509804,0.3814
2024-05-08,SPY,HOLD,0.53773,KNN,Index,51,0.509804,-0.0168
2024-05-09,SPY,HOLD,0.595002,KNN,Index,51,0.627451,1.0469
2024-05-10,SPY,HOLD,0.604343,KNN,Index,51,0.647059,0.9112
2024-05-13,SPY,HOLD,0.557009,KNN,Index,51,0.54902,0.085
2024-05-14,SPY,HOLD,0.528044,KNN,Index,51,0.490196,-0.076
2024-05-15,SPY,HOLD,0.518337,KNN,Index,51,0.470588,0.1804
2024-05-16,SPY,HOLD,0.566588,KNN,Index,51,0.568627,0.0053
2024-05-17,SPY,HOLD,0.622793,KNN,Index,51,0.686275,0.4052
2024-05-20,SPY,HOLD,0.576118,KNN,Index,51,0.588235,0.6505
2024-05-21,SPY,HOLD,0.622793,KNN,Index,51,0.686275,0.9546
2024-05-22,SPY,HOLD,0.604343,KNN,Index,51,0.647059,0.8278
2024-05-23,SPY,HOLD,0.576118,KNN,Index,51,0.588235,0.4027
2024-05-24,SPY,HOLD,0.585592,KNN,Index,51,0.607843,0.6315
2024-05-28,SPY,HOLD,0.498889,KNN,Index,51,0.431373,0.0651
2024-05-29,SPY,HOLD,0.547387,KNN,Index,51,0.529412,0.119
2024-05-30,SPY,HOLD,0.63189,KNN,Index,51,0.705882,0.6858
2024-05-31,SPY,HOLD,0.528044,KNN,Index,51,0.490196,0.7927
2024-06-03,SPY,HOLD,0.566588,KNN,Index,51,0.568627,0.439
2024-06-04,SPY,HOLD,0.547387,KNN,Index,51,0.529412,-0.4535
2024-06-05,SPY,HOLD,0.498889,KNN,Index,51,0.431373,-0.1881
2024-06-06,SPY,HOLD,0.53773,KNN,Index,51,0.509804,-0.1899
2024-06-07,SPY,HOLD,0.585592,KNN,Index,51,0.607843,0.2249
2024-06-10,SPY,HOLD,0.53773,KNN,Index,51,0.509804,-0.2295
2024-06-11,SPY,HOLD,0.518337,KNN,Index,51,0.470588,-0.213
2024-06-12,SPY,HOLD,0.566588,KNN,Index,51,0.568627,0.2971
2024-06-13,SPY,HOLD,0.528044,KNN,Index,51,0.490196,-0.668
2024-06-14,SPY,HOLD,0.498889,KNN,Index,51,0.431373,-0.4819
2024-06-17,SPY,HOLD,0.566588,KNN,Index,51,0.568627,-0.2885
2024-06-18,SPY,HOLD,0.566588,KNN,Index,51,0.568627,-0.3904
2024-06-20,SPY,HOLD,0.604343,KNN,Index,51,0.647059,0.6733
2024-06-21,SPY,HOLD,0.557009,KNN,Index,51,0.54902,0.1011
2024-06-24,SPY,HOLD,0.622793,KNN,Index,51,0.686275,0.4911
2024-06-25,SPY,HOLD,0.622793,KNN,Index,51,0.686275,0.8809
2024-06-26,SPY,HOLD,0.622793,KNN,Index,51,0.686275,0.7598
2024-06-27,SPY,HOLD,0.576118,KNN,Index,51,0.588235,0.3768
2024-06-28,SPY,HOLD,0.576118,KNN,Index,51,0.588235,0.3309
2024-07-01,SPY,HOLD,0.576118,KNN,Index,51,0.588235,0.4031
2024-07-02,SPY,HOLD,0.595002,KNN,Index,51,0.627451,0.8477
2024-07-03,SPY,HOLD,0.508617,KNN,Index,51,0.45098,-0.2779
2024-07-05,SPY,HOLD,0.53773,KNN,Index,51,0.509804,0.0685
2024-07-08,SPY,HOLD,0.613609,KNN,Index,51,0.666667,0.5056
2024-07-09,SPY,HOLD,0.557009,KNN,Index,51,0.54902,-0.2987
2024-07-10,SPY,HOLD,0.595002,KNN,Index,51,0.627451,0.3106
2024-07-11,SPY,HOLD,0.489163,KNN,Index,51,0.411765,0.0032
2024-07-12,SPY,HOLD,0.528044,KNN,Index,51,0.490196,-0.1646
2024-07-15,SPY,HOLD,0.518337,KNN,Index,51,0.470588,-0.2488
2024-07-16,SPY,HOLD,0.566588,KNN,Index,51,0.568627,0.0232
2024-07-17,SPY,HOLD,0.547387,KNN,Index,51,0.529412,-0.4381
2024-07-18,SPY,HOLD,0.604343,KNN,Index,51,0.647059,0.9541
2024-07-19,SPY,HOLD,0.595002,KNN,Index,51,0.627451,0.6008
2024-07-22,SPY,HOLD,0.566588,KNN,Index,51,0.568627,0.2107
2024-07-23,SPY,HOLD,0.508617,KNN,Index,51,0.45098,0.1232
2024-07-24,SPY,HOLD,0.562379,KNN,Index,50,0.56,0.2071
2024-07-25,SPY,HOLD,0.53289,KNN,Index,50,0.5,0.032
2024-07-26,SPY,BUY,0.658602,KNN,Index,51,0.764706,1.6491
2024-07-29,SPY,HOLD,0.585592,KNN,Index,51,0.607843,0.2574
2024-07-30,SPY,HOLD,0.552588,KNN,Index,50,0.54,0.2291
2024-07-31,SPY,HOLD,0.622793,KNN,Index,51,0.686275,1.2682
2024-08-01,SPY,HOLD,0.566588,KNN,Index,51,0.568627,0.436
2024-08-02,SPY,HOLD,0.544099,KNN,Index,44,0.522727,-0.0312
2024-08-05,SPY,HOLD,0.60756,KNN,Index,26,0.653846,2.8035
2024-08-06,SPY,HOLD,0.626595,KNN,Index,36,0.694444,2.6853
2024-08-07,SPY,HOLD,0.522999,KNN,Index,25,0.48,0.0673
2024-08-08,SPY,HOLD,0.604343,KNN,Index,34,0.647059,1.1437
2024-08-09,SPY,HOLD,0.543166,KNN,Index,48,0.520833,-0.2151
2024-08-12,SPY,HOLD,0.579753,KNN,Index,47,0.595745,0.185
2024-08-13,SPY,HOLD,0.597487,KNN,Index,49,0.632653,0.1968
2024-08-14,SPY,HOLD,0.607188,KNN,Index,49,0.653061,0.3002
2024-08-15,SPY,HOLD,0.576118,KNN,Index,51,0.588235,1.5266
2024-08-16,SPY,HOLD,0.649611,KNN,Index,47,0.744681,1.4379
2024-08-19,SPY,HOLD,0.595002,KNN,Index,51,0.627451,1.0354
2024-08-20,SPY,HOLD,0.6498,KNN,Index,51,0.745098,1.3152
2024-08-21,SPY,HOLD,0.53773,KNN,Index,51,0.509804,0.2255
2024-08-22,SPY,HOLD,0.604343,KNN,Index,51,0.647059,0.6535
2024-08-23,SPY,HOLD,0.576118,KNN,Index,51,0.588235,0.5048
2024-08-26,SPY,HOLD,0.622793,KNN,Index,51,0.686275,1.0243
2024-08-27,SPY,HOLD,0.604343,KNN,Index,51,0.647059,0.6284
2024-08-28,SPY,HOLD,0.518337,KNN,Index,51,0.470588,-0.3247
2024-08-29,SPY,HOLD,0.557009,KNN,Index,51,0.54902,0.3936
2024-08-30,SPY,HOLD,0.604343,KNN,Index,51,0.647059,0.3196
2024-09-03,SPY,HOLD,0.557009,KNN,Index,51,0.54902,-0.1291
2024-09-04,SPY,HOLD,0.547387,KNN,Index,51,0.529412,-0.1325
2024-09-05,SPY,HOLD,0.566588,KNN,Index,51,0.568627,0.535
2024-09-06,SPY,HOLD,0.576118,KNN,Index,51,0.588235,1.1212
2024-09-09,SPY,HOLD,0.557009,KNN,Index,51,0.54902,1.1781
2024-09-10,SPY,HOLD,0.489163,KNN,Index,51,0.411765,-0.7187
2024-09-11,SPY,HOLD,0.613609,KNN,Index,51,0.666667,0.7778
2024-09-12,SPY,HOLD,0.566588,KNN,Index,51,0.568627,0.48
2024-09-13,SPY,HOLD,0.604343,KNN,Index,51,0.647059,0.6182
2024-09-16,SPY,HOLD,0.547387,KNN,Index,51,0.529412,-0.2012
2024-09-17,SPY,HOLD,0.528044,KNN,Index,51,0.490196,-0.1286
2024-09-18,SPY,HOLD,0.604343,KNN,Index,51,0.647059,0.4094
2024-09-19,SPY,HOLD,0.557009,KNN,Index,51,0.54902,-0.0452
2024-09-20,SPY,HOLD,0.469742,KNN,Index,51,0.372549,-0.7603
2024-09-23,SPY,HOLD,0.566588,KNN,Index,51,0.568627,-0.0778
2024-09-24,SPY,HOLD,0.585592,KNN,Index,51,0.607843,0.0705
2024-09-25,SPY,HOLD,0.547387,KNN,Index,51,0.529412,0.1384
2024-09-26,SPY,HOLD,0.613609,KNN,Index,51,0.666667,0.3675
